id дистриб'ютора;Дата;Код продукту дистриб'ютора;Кількість
53;01.10.2022;011241;153
53;02.10.2022;011241;153
53;03.10.2022;011241;148
53;04.10.2022;011241;131
53;05.10.2022;011241;131
53;06.10.2022;011241;131
53;07.10.2022;011241;123
53;08.10.2022;011241;123
53;09.10.2022;011241;123
53;10.10.2022;011241;123
53;11.10.2022;011241;123
53;12.10.2022;011241;123
53;13.10.2022;011241;113
53;14.10.2022;011241;113
53;15.10.2022;011241;113
53;16.10.2022;011241;113
53;17.10.2022;011241;113
53;18.10.2022;011241;109
53;19.10.2022;011241;109
53;20.10.2022;011241;97
53;21.10.2022;011241;97
53;22.10.2022;011241;97
53;23.10.2022;011241;97
53;24.10.2022;011241;91
53;25.10.2022;011241;81
53;26.10.2022;011241;81
53;27.10.2022;011241;81
53;28.10.2022;011241;71
53;29.10.2022;011241;71
53;30.10.2022;011241;71
53;31.10.2022;011241;71
53;01.10.2022;012269;30
53;02.10.2022;012269;30
53;03.10.2022;012269;7
53;04.10.2022;012269;7
53;05.10.2022;012269;7
53;06.10.2022;012269;7
53;07.10.2022;012269;7
53;08.10.2022;012269;7
53;09.10.2022;012269;7
53;10.10.2022;012269;7
53;11.10.2022;012269;4
53;12.10.2022;012269;4
53;13.10.2022;012269;4
53;14.10.2022;012269;3
53;15.10.2022;012269;3
53;16.10.2022;012269;3
53;17.10.2022;012269;3
53;18.10.2022;012269;3
53;19.10.2022;012269;3
53;20.10.2022;012269;3
53;21.10.2022;012269;3
53;22.10.2022;012269;3
53;23.10.2022;012269;3
53;24.10.2022;012269;67
53;25.10.2022;012269;67
53;26.10.2022;012269;67
53;27.10.2022;012269;67
53;28.10.2022;012269;67
53;29.10.2022;012269;67
53;30.10.2022;012269;67
53;31.10.2022;012269;67
53;01.10.2022;012270;4
53;02.10.2022;012270;4
53;03.10.2022;012270;2
53;04.10.2022;012270;2
53;05.10.2022;012270;2
53;06.10.2022;012270;2
53;07.10.2022;012270;2
53;08.10.2022;012270;2
53;09.10.2022;012270;2
53;10.10.2022;012270;2
53;11.10.2022;012270;1
53;12.10.2022;012270;1
53;13.10.2022;012270;1
53;14.10.2022;012270;1
53;15.10.2022;012270;1
53;16.10.2022;012270;1
53;17.10.2022;012270;1
53;18.10.2022;012270;1
53;19.10.2022;012270;1
53;20.10.2022;012270;1
53;21.10.2022;012270;1
53;22.10.2022;012270;1
53;23.10.2022;012270;1
53;24.10.2022;012270;1
53;25.10.2022;012270;1
53;26.10.2022;012270;1
53;27.10.2022;012270;1
53;28.10.2022;012270;1
53;29.10.2022;012270;1
53;30.10.2022;012270;1
53;31.10.2022;012270;1
53;01.10.2022;012271;27
53;02.10.2022;012271;27
53;03.10.2022;012271;0
53;04.10.2022;012271;0
53;05.10.2022;012271;0
53;06.10.2022;012271;0
53;07.10.2022;012271;0
53;08.10.2022;012271;0
53;09.10.2022;012271;0
53;10.10.2022;012271;0
53;11.10.2022;012271;0
53;12.10.2022;012271;0
53;13.10.2022;012271;0
53;14.10.2022;012271;0
53;15.10.2022;012271;0
53;16.10.2022;012271;0
53;17.10.2022;012271;0
53;18.10.2022;012271;0
53;19.10.2022;012271;0
53;20.10.2022;012271;0
53;21.10.2022;012271;0
53;22.10.2022;012271;0
53;23.10.2022;012271;0
53;24.10.2022;012271;64
